"ESTABLISHMENT NAME","ESTABLISHMENT ADDRESS","INSPECTION DATE","DEMERITS","LINK"
"BILL MILLER BBQ #11","3200 FREDSBG RD SAN ANTONIO, TX 78201","1/3/12","6","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=130697&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"BILL MILLER BBQ #57","8888 LOOP 410 SW San Antonio, TX 782420","1/3/12","14","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=128482&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"BONHAM ACADEMY","925 ST MARYS S San Antonio, TX 782040","1/3/12","0","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=84393&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"CARNITA'S MEXICAN RESTAURANT #","1310 W W WHITE RD S San Antonio, TX 782203428","1/3/12","21","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=168674&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"CHES CHICKEN & BURGERS","4303 PRESA ST S San Antonio, TX 782231045","1/3/12","3","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=126310&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"CHICKEN KINGS","11470 PERRIN BEITEL San Antonio, TX 782332536","1/3/12","23","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=99826&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"CHIN SAN CHINESE RESTAURANT","13239 NACOGDOCHES RD San Antonio, TX 782171534","1/3/12","22","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=256281&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"CHINA GARDEN","2250 THOUSAND OAKS San Antonio, TX 782323968","1/3/12","21","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=256274&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"CLAIRES #6058","7400 SAN PEDRO AV San Antonio, TX 782165353","1/3/12","0","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=247877&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"DOLLAR GENERAL #4245","4507 BLANCO RD San Antonio, TX 782130","1/3/12","6","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=130700&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"EL TORO DE JALISCO MEXICAN RESTAURANT","7030 WALZEM RD San Antonio, TX 782390","1/3/12","19","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=96324&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"FRENCH CORNER NORTHWOOD TOWER","1777 LOOP 410 NE San Antonio, TX 782175215","1/3/12","0","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=256275&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"FRUTERIA YUCATAN","7030 WALZEM RD San Antonio, TX 782390","1/3/12","3","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=96325&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"HAMILTON HOUSE","5331 HAMILTON WOLFE San Antonio, TX 782404311","1/3/12","7","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=90351&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"HAMPTON INN & SUITES","8902 JONES MALTSBRG San Antonio, TX 782160","1/3/12","0","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=256271&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"HIDDEN COVE ELEMENTARY","5003 GRAY BUFFALO San Antonio, TX 782423101","1/3/12","5","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=128484&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"HOLY FAMILY BOOSTER CLUB INC","152 FLORENCIA AV San Antonio, TX 782280","1/3/12","6","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=229832&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"INDIAN CREEK ELEMENTARY SCHOOL","5830 OLD PEARSALL San Antonio, TX 782420","1/3/12","4","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=128483&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"ISABEL MEXICAN RESTAURANT","2303 QUINTANA RD San Antonio, TX 782112845","1/3/12","23","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=214887&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"JAK'S CONVIENCE STORE AND KITCHEN","101 CARSON ST E San Antonio, TX 782081104","1/3/12","21","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=131939&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"JIGS FOOD MART","1007 OLD HWY 90 W San Antonio, TX 782372437","1/3/12","11","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=256272&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"JW MARRIOTT RESORT & SPA","23808 RESORT PARKWAY Bexar County, TX 782610","1/3/12","3","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=256261&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"LA COCINA","3534 FREDSBG RD San Antonio, TX 782010","1/3/12","18","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=130696&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"LA FIESTA SUPERMARKET #15 #","3414 NOGALITOS ST SAN ANTONIO, TX 78225","1/3/12","14","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=126309&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"LA MICHOACANA MEAT MARKET","4523 BLANCO RD San Antonio, TX 782131025","1/3/12","13","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=130699&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"LONGORIA'S GROCERY & GRILL A BLESSED
  CATERING","201 BRADY BV San Antonio, TX 782078032","1/3/12","4","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=256270&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
"MAIN STREET PIZZA AND PASTA","1906 MAIN AV N San Antonio, TX 782123942","1/3/12","3","http://samhd.tx.gegov.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=152443&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134"
